Time,WR,HR,VE,BF,VO2rel,HRR,VO2,,,
8,25,132,14288.055,11,8.4852,57.8125,0.57359952,,,
9,25,133,14288.055,11,8.6837,58.59375,0.58701812,,,
10,25,134,15837.199,11,8.8822,59.375,0.60043672,,,
11,25,134,15837.199,11,9.0807,59.375,0.61385532,,,
12,25,135,15837.199,12,9.469,60.15625,0.6401044,,,
13,25,135,15837.199,12,9.9737,60.15625,0.67422212,,,
14,25,136,17150.193,12,10.4783,60.9375,0.70833308,,,
15,25,137,17150.193,13,10.8563,61.71875,0.73388588,,,
16,25,137,17150.193,13,10.7853,61.71875,0.72908628,,,
17,25,138,17150.193,13,10.7143,62.5,0.72428668,,,
18,25,138,17268.268,13,10.6433,62.5,0.71948708,,,
19,25,138,17268.268,13,10.6659,62.5,0.72101484,,,
20,25,137,17268.268,13,10.8704,61.71875,0.73483904,,,
21,25,136,17268.268,14,11.0748,60.9375,0.74865648,,,
22,25,136,17995.61,14,11.2793,60.9375,0.76248068,,,
23,25,135,17995.61,14,10.6947,60.15625,0.72296172,,,
24,25,134,17995.61,14,9.9817,59.375,0.67476292,,,
25,25,133,16918.766,14,9.2687,58.59375,0.62656412,,,
26,25,133,16918.766,15,9.2917,58.59375,0.62811892,,,
27,25,133,16918.766,15,9.6609,58.59375,0.65307684,,,
28,25,133,18014.502,15,10.0302,58.59375,0.67804152,,,
29,25,133,18014.502,16,10.1495,58.59375,0.6861062,,,
30,25,133,18014.502,16,10.0188,58.59375,0.67727088,,,
31,25,132,18354.558,17,9.888,57.8125,0.6684288,,,
32,25,132,18354.558,17,10.3212,57.8125,0.69771312,,,
33,25,131,18354.558,17,10.7779,57.03125,0.72858604,,,
34,25,131,18765.459,18,11.2346,57.03125,0.75945896,,,
35,25,129,18765.459,18,11.4447,55.46875,0.77366172,,,
36,25,128,18765.459,18,10.874,54.6875,0.7350824,,,
37,25,127,18000.333,18,10.3032,53.90625,0.69649632,,,
38,25,126,18000.333,18,9.4885,53.125,0.6414226,,,
39,25,124,18000.333,18,8.5881,51.5625,0.58055556,,,
40,25,123,17117.132,18,8.7056,50.78125,0.58849856,,,
41,25,122,17117.132,19,9.9257,50,0.67097732,,,
42,25,121,18170.361,19,11.1459,49.21875,0.75346284,,,
43,25,120,18170.361,20,9.4547,48.4375,0.63913772,,,
44,25,120,18170.361,21,5.6552,48.4375,0.38229152,,,
45,25,119,18170.361,21,5.6775,47.65625,0.383799,,,
46,25,118,18170.361,21,8.7026,46.875,0.58829576,,,
47,25,117,16729.846,21,11.185,46.09375,0.756106,,,
48,25,117,16729.846,20,10.8181,46.09375,0.73130356,,,
49,25,116,16729.846,20,10.4512,45.3125,0.70650112,,,
50,25,116,16191.424,19,10.0843,45.3125,0.68169868,,,
51,25,116,16191.424,19,9.7174,45.3125,0.65689624,,,
52,25,116,16191.424,19,10.2527,45.3125,0.69308252,,,
