time,VO2,VO2_rel
6.28,0.595217207,7.348360577
8.3,0.641261869,7.916813202
10.26,0.653055025,8.06240771
12.34,0.667751332,8.243843599
14.38,0.924370248,11.41197838
16.76,0.855466144,10.56131042
20.72,0.56423185,6.965825313
22.98,1.11422269,13.75583568
26.3,0.777878841,9.603442481
30.56,0.777413769,9.597700856
34.92,0.721873084,8.912013384
38.6,0.92877739,11.46638753
42.68,0.94653291,11.68559148
46.22,0.79381891,9.80023346
50,1.307299148,16.13949565
52.3,1.139746364,14.07094276
55.24,1.471868038,18.17121034
57.92,1.497588632,18.48874855
60.22,1.299095164,16.0382119
62.4,1.654561587,20.42668626
65.04,1.641935283,20.27080596
67.3,1.412730956,17.44112292
70.3,1.357114468,16.7544996
72.76,1.714635366,21.16833785
75.4,1.832279676,22.62073674
77.82,1.800837341,22.23255977
79.8,1.494656223,18.45254596
82.62,1.385904023,17.10992621
84.82,1.771338716,21.86837921
87.1,1.922677772,23.73676261
89.24,1.516248316,18.71911502
91.4,1.422968487,17.56751219
93.46,1.601033742,19.76584866
95.46,1.54924298,19.12645655
97.48,1.784771865,22.03422056
99.64,1.557553774,19.22905894
101.44,1.414269683,17.46011955
103.64,1.5062309,18.59544321
105.5,1.18349058,14.61099481
107.68,1.810025873,22.34599843
109.76,1.799483933,22.21585102
111.92,1.720126108,21.23612479
113.88,1.577897353,19.48021423
116.14,1.555399811,19.20246681
118.04,1.918718101,23.68787779
120.1,1.960509697,24.20382341
122.12,2.004924363,24.75215263
124.12,1.981166316,24.45884341
126.24,1.82460754,22.52601902
128.36,1.837600063,22.68642053
130.38,1.620222466,20.00274649
132.18,2.051281551,25.32446359
134.18,2.401942365,29.65360944
136.38,2.087215181,25.76808866
138.2,2.000322884,24.69534425
140.06,1.853892899,22.88756665
142.02,2.10627222,26.00336074
143.94,2.229147497,27.52033947
146.72,2.454387474,30.30107992
148.52,1.943279479,23.99110468
150.38,2.244183223,27.70596572
152.44,1.72377955,21.28122901
154.56,2.328956316,28.75254711
