time,VO2,VO2_rel
5.88,0.601134713,12.3436286
8.38,0.55977012,11.49425298
11.18,0.63605408,13.06065872
14.06,0.54787633,11.2500273
17.14,0.610937062,12.54490887
20.56,0.574191319,11.79037616
23.52,0.616918422,12.66772941
26.16,0.608540336,12.49569479
29.48,0.647679829,13.29938047
32.32,0.636809276,13.07616583
34.78,0.68795436,14.1263729
37.88,0.725665969,14.90073858
41.04,0.830749897,17.05851944
43.96,0.686651461,14.09961933
48.46,1.030956659,21.16954126
50.86,0.745005378,15.2978517
53.58,0.656032984,13.47090316
56.26,0.862941117,17.71953011
59.24,1.047125721,21.50155485
63.08,1.103236363,22.65372409
65.84,0.98584805,20.24328645
68.46,1.06067858,21.77984764
71.18,1.010685083,20.75328712
75.82,1.221059782,25.07309615
78.48,0.936284967,19.22556401
81.46,1.112060681,22.83492157
84.28,1.082805055,22.23419005
87.22,1.110099993,22.79466104
90.3,1.075928441,22.09298646
93.18,1.021805712,20.9816368
95.88,1.01629823,20.86854682
98.9,1.06329749,21.83362402
102.8,1.174208665,24.11106088
106.26,1.044903743,21.45592902
109.54,1.164523198,23.91218066
113.08,1.006557918,20.66854041
115.92,1.114613798,22.88734698
118.84,1.210630835,24.85894938
124.28,1.101307181,22.6141105
126.7,1.033516007,21.2220946
129.54,1.276991646,26.22159438
132.3,1.29487342,26.5887766
136.6,1.276439802,26.21026288
139.08,1.48096578,30.40997494
141.74,1.505194937,30.90749358
145.66,1.453207422,29.83998814
148.58,1.458802775,29.95488244
150.78,1.349534712,27.71118505
152.9,1.461931738,30.0191322
155.24,1.532693429,31.47214433
157.82,1.360379662,27.93387397
160.12,1.384630808,28.43184411
162.5,1.541698189,31.65704699
164.82,1.351956431,27.76091234
167.36,1.234358349,25.34616733
169.76,1.341280975,27.5417038
172.1,1.403243296,28.81403073
175.64,1.328722566,27.28383092
177.92,1.310976762,26.9194407
180.2,1.253977869,25.74903221
182.68,0.840326263,17.2551594
185.12,1.228421536,25.22426153
187.5,1.166452556,23.95179787
189.98,1.047257208,21.50425478
192.64,1.015821621,20.85876018
196.64,0.972938873,19.97821095
199.38,0.822329885,16.88562392
202.46,0.789815807,16.21798373
205.48,0.820973144,16.85776476
208.22,0.847166803,17.39562225
210.84,0.871874118,17.9029593
