time,VO2,VO2_rel
8.9,0.792651699,10.29417791
12.32,0.895707999,11.63257141
16.34,0.802070501,10.41650002
19.24,0.69387373,9.011347149
22.04,0.654395155,8.498638379
24.58,0.653187299,8.482951929
27.58,0.910087262,11.81931509
32.12,0.880254557,11.43187737
34.94,1.231458292,15.99296483
37.94,1.217544015,15.81225994
41.32,1.275492719,16.5648405
44.56,1.32407917,17.19583338
47.86,1.823110039,23.67675376
50.34,1.67164613,21.70969
52.86,1.52895655,19.85657857
55.46,1.543972559,20.05159167
58.34,1.812778045,23.54257201
60.72,2.079151895,27.00197266
63.3,1.469139526,19.0797341
65.72,1.777816256,23.0885228
68.34,1.565914674,20.3365542
70.96,1.558001066,20.23378008
74,1.743945619,22.64864441
76.88,1.67563079,21.76143883
79.86,1.867341427,24.25118736
82.5,1.626397105,21.12204033
85.04,1.886555877,24.50072567
88,1.837502762,23.86367223
90.56,1.60087584,20.79059532
93.02,1.746926996,22.68736359
95.32,1.880907959,24.42737609
98.3,2.107361746,27.36833436
100.4,2.068055459,26.8578631
102.5,1.904846532,24.73826664
104.66,1.907231922,24.76924574
106.82,1.898778415,24.65945994
108.74,1.988635782,25.82643873
110.92,1.767376814,22.95294563
113.06,1.848140764,24.00182811
115.16,1.967689322,25.55440678
117.22,2.004665679,26.03461921
119.32,2.009372132,26.09574197
121.16,2.104143775,27.32654253
123.2,1.908636123,24.78748212
125.14,2.134411314,27.71962746
126.96,2.125448957,27.60323321
129.2,1.807332883,23.47185562
131.58,1.642512331,21.33132897
133.8,2.143944836,27.84343943
135.86,2.155764205,27.99693772
138.46,1.915870128,24.88143024
140.46,2.135625661,27.7353982
142.36,2.167669628,28.15155361
144.18,2.179173757,28.30095788
146.18,2.253549202,29.26687275
149.56,1.539158479,19.98907115
151.46,2.521129766,32.74194501
153.3,2.491642364,32.35899173
155.64,2.038939921,26.47973923
157.74,2.031791242,26.38689925
159.9,2.001625473,25.99513601
162.08,1.908758114,24.78906642
164.34,1.961539026,25.47453281
167.68,1.909137428,24.79399258
170.66,1.727750837,22.43832256
173.64,1.884523938,24.47433686
