WR,HR,DeltaHR,VE,BF,VO2rel,HRR,VO2
25,77,0,19025,22,8.3838,10.47619048,0.7293906
25,78,1,19025,21,8.0029,11.42857143,0.6962523
25,80,2,19025,21,7.622,13.33333333,0.663114
25,81,1,19470,20,7.2496,14.28571429,0.6307152
25,82,1,19470,20,6.8815,15.23809524,0.5986905
25,82,0,19470,20,6.5134,15.23809524,0.5666658
25,83,1,20341,20,6.5856,16.19047619,0.5729472
25,83,0,20341,20,6.7417,16.19047619,0.5865279
25,84,1,20341,20,6.8977,17.14285714,0.6000999
25,84,0,21353,20,7.3411,17.14285714,0.6386757
25,83,-1,21353,20,7.7845,16.19047619,0.6772515
25,83,0,21353,20,8.2278,16.19047619,0.7158186
25,83,0,21460,20,8.1673,16.19047619,0.7105551
25,83,0,21460,21,8.063,16.19047619,0.701481
25,82,-1,21460,21,7.9587,15.23809524,0.6924069
25,82,0,19781,21,8.1443,15.23809524,0.7085541
25,81,-1,19781,20,8.3621,14.28571429,0.7275027
25,81,0,19781,20,8.58,14.28571429,0.74646
25,80,-1,19335,20,8.2361,13.33333333,0.7165407
25,80,0,19335,20,7.8808,13.33333333,0.6856296
25,79,-1,19335,20,7.5254,12.38095238,0.6547098
25,79,0,19349,20,7.9521,12.38095238,0.6918327
25,79,0,19349,20,8.4286,12.38095238,0.7332882
25,79,0,19349,20,8.8951,12.38095238,0.7738737
195,79,0,18843,20,9.1228,12.38095238,0.7936836
195,79,0,18843,20,9.3504,12.38095238,0.8134848
195,79,0,18843,20,9.6705,12.38095238,0.8413335
195,80,1,20536,20,10.412,13.33333333,0.905844
195,80,0,20536,20,11.153,13.33333333,0.970311
195,81,1,21508,20,11.362,14.28571429,0.988494
195,82,1,21508,20,11.321,15.23809524,0.984927
195,83,1,21508,21,11.321,16.19047619,0.984927
195,85,2,22277,21,11.537,18.0952381,1.003719
195,86,1,22277,21,11.753,19.04761905,1.022511
195,87,1,23734,22,11.617,20,1.010679
195,90,3,23734,22,11.404,22.85714286,0.992148
195,91,1,23734,22,11.784,23.80952381,1.025208
195,93,2,23734,22,12.807,25.71428571,1.114209
195,95,2,27896,22,13.829,27.61904762,1.203123
195,96,1,27896,22,14.852,28.57142857,1.292124
195,98,2,27896,21,15.875,30.47619048,1.381125
195,100,2,27660,21,15.416,32.38095238,1.341192
195,101,1,27660,21,14.827,33.33333333,1.289949
195,102,1,29063,21,13.823,34.28571429,1.202601
195,103,1,29063,21,12.563,35.23809524,1.092981
195,104,1,29063,22,11.803,36.19047619,1.026861
195,104,0,28604,22,12.105,36.19047619,1.053135
195,104,0,28604,22,12.407,36.19047619,1.079409
195,105,1,28159,22,11.816,37.14285714,1.027992
195,105,0,28159,22,11.055,37.14285714,0.961785
195,106,1,28159,22,11.352,38.0952381,0.987624
195,106,0,27835,22,12.994,38.0952381,1.130478
195,107,1,27835,22,14.48,39.04761905,1.25976
195,107,0,28159,22,15.25,39.04761905,1.32675
25,108,1,28159,22,16.02,40,1.39374
25,109,1,24968,23,16.557,40.95238095,1.440459
25,109,0,24968,24,17.022,40.95238095,1.480914
25,109,0,24968,24,17.532,40.95238095,1.525284
25,110,1,27323,25,18.097,41.9047619,1.574439
25,110,0,27323,25,18.617,41.9047619,1.619679
25,110,0,29360,25,19.031,41.9047619,1.655697
25,110,0,29360,25,19.418,41.9047619,1.689366
25,109,-1,29481,26,19.157,40.95238095,1.666659
25,109,0,29481,26,18.897,40.95238095,1.644039
25,108,-1,29481,26,18.105,40,1.575135
25,107,-1,29670,26,17.039,39.04761905,1.482393
25,107,0,29670,26,16.459,39.04761905,1.431933
25,107,0,31532,26,17.602,39.04761905,1.531374
25,106,-1,31532,26,18.745,38.0952381,1.630815
25,106,0,31269,26,19.612,38.0952381,1.706244
25,106,0,31269,25,20.349,38.0952381,1.770363
25,106,0,31269,25,20.591,38.0952381,1.791417
25,106,0,33003,25,18.232,38.0952381,1.586184
25,106,0,33003,25,15.872,38.0952381,1.380864
25,107,1,33003,25,13.513,39.04761905,1.175631
25,107,0,31492,25,16.768,39.04761905,1.458816
25,107,0,31492,24,22.665,39.04761905,1.971855
25,107,0,31492,24,25.141,39.04761905,2.187267
25,107,0,32025,24,24.928,39.04761905,2.168736
25,106,-1,32025,23,24.716,38.0952381,2.150292
25,105,-1,32025,23,24.503,37.14285714,2.131761
25,104,-1,31289,22,22.94,36.19047619,1.99578
25,104,0,31289,22,21.291,36.19047619,1.852317
25,103,-1,31289,22,19.415,35.23809524,1.689105
