WR,HR,DeltaHR,VE,BF,VO2rel,HRR,VO2
25,81,4,12230,20,9.6294,17.69230769,0.65094744
25,83,2,12230,20,9.5657,19.23076923,0.64664132
25,86,3,12230,20,9.6136,21.53846154,0.64987936
25,90,4,13718,20,10.17,24.61538462,0.687492
25,93,3,13718,20,10.727,26.92307692,0.7251452
25,95,2,13718,20,11.284,28.46153846,0.7627984
25,96,1,14822,20,11.541,29.23076923,0.7801716
25,97,1,14822,20,11.541,30,0.7801716
25,97,0,14822,20,11.542,30,0.7802392
25,97,0,16295,20,10.143,30,0.6856668
25,96,-1,16295,20,8.3493,29.23076923,0.56441268
25,96,0,19137,20,7.1814,29.23076923,0.48546264
25,95,-1,19137,20,7.7946,28.46153846,0.52691496
25,94,-1,19137,21,8.4079,27.69230769,0.56837404
25,94,0,19137,21,9.0211,27.69230769,0.60982636
25,94,0,19893,21,9.6344,27.69230769,0.65128544
25,93,-1,19893,21,9.4763,26.92307692,0.64059788
25,93,0,19893,21,9.2325,26.92307692,0.624117
25,93,0,20291,21,9.2128,26.92307692,0.62278528
25,92,-1,20291,20,9.9025,26.15384615,0.669409
25,93,1,20291,20,10.592,26.92307692,0.7160192
25,93,0,21204,20,11.208,26.92307692,0.7576608
25,93,0,21204,20,10.038,26.92307692,0.6785688
25,93,0,21204,20,8.8688,26.92307692,0.59953088
25,92,-1,20512,20,8.6702,26.15384615,0.58610552
130,91,-1,20512,20,10.535,25.38461538,0.712166
130,90,-1,20836,20,12.399,24.61538462,0.8381724
130,90,0,20836,20,11.422,24.61538462,0.7721272
130,89,-1,20836,20,9.9031,23.84615385,0.66944956
130,89,0,19525,20,8.6189,23.84615385,0.58263764
130,90,1,19525,20,8.7745,24.61538462,0.5931562
130,90,0,19078,20,9.4581,24.61538462,0.63936756
130,90,0,19078,21,11.08,24.61538462,0.749008
130,91,1,19078,21,12.702,25.38461538,0.8586552
130,93,2,22043,21,13.324,26.92307692,0.9007024
130,94,1,22043,22,13.516,27.69230769,0.9136816
130,96,2,22043,22,13.708,29.23076923,0.9266608
130,98,2,22043,22,13.9,30.76923077,0.93964
130,99,1,20468,22,13.325,31.53846154,0.90077
130,101,2,20468,22,12.318,33.07692308,0.8326968
130,103,2,19623,21,11.348,34.61538462,0.7671248
130,104,1,19623,22,11.272,35.38461538,0.7619872
130,105,1,19623,22,11.196,36.15384615,0.7568496
130,106,1,18411,22,10.525,36.92307692,0.71149
130,107,1,18411,22,9.6214,37.69230769,0.65040664
130,107,0,18612,22,10.34,37.69230769,0.698984
130,108,1,18612,23,12.441,38.46153846,0.8410116
130,108,0,19829,23,14.541,38.46153846,0.9829716
130,108,0,19829,23,15.24,38.46153846,1.030224
130,108,0,19829,23,15.816,38.46153846,1.0691616
130,109,1,19829,23,16.328,39.23076923,1.1037728
130,109,0,23757,23,16.751,39.23076923,1.1323676
130,109,0,23757,22,17.174,39.23076923,1.1609624
130,109,0,23757,21,17.597,39.23076923,1.1895572
130,109,0,23757,21,18.019,39.23076923,1.2180844
25,109,0,20733,21,17.851,39.23076923,1.2067276
25,109,0,20733,20,15.808,39.23076923,1.0686208
25,110,1,20733,20,13.765,40,0.930514
25,110,0,21494,20,12.433,40,0.8404708
25,110,0,21494,20,12.364,40,0.8358064
25,110,0,22775,21,12.341,40,0.8342516
25,111,1,22775,21,13.036,40.76923077,0.8812336
25,111,0,22775,21,13.731,40.76923077,0.9282156
25,111,0,22775,20,14.426,40.76923077,0.9751976
25,110,-1,24984,20,15.563,40,1.0520588
25,109,-1,24984,20,16.729,39.23076923,1.1308804
25,109,0,24984,20,17.895,39.23076923,1.209702
25,108,-1,26334,20,19.408,38.46153846,1.3119808
25,107,-1,26334,19,21.906,37.69230769,1.4808456
25,107,0,26334,19,24.405,37.69230769,1.649778
25,107,0,26825,19,26.25,37.69230769,1.7745
25,106,-1,26825,18,24.072,36.92307692,1.6272672
25,106,0,26825,18,21.894,36.92307692,1.4800344
25,106,0,22991,18,19.6,36.92307692,1.32496
25,106,0,22991,18,17.133,36.92307692,1.1581908
25,105,-1,25769,19,15.086,36.15384615,1.0198136
25,104,-1,25769,20,15.619,35.38461538,1.0558444
25,104,0,25769,21,16.152,35.38461538,1.0918752
25,104,0,26457,21,16.473,35.38461538,1.1135748
25,103,-1,26457,21,16.253,34.61538462,1.0987028
25,103,0,26457,20,16.032,34.61538462,1.0837632
25,102,-1,26771,20,16.061,33.84615385,1.0857236
25,100,-2,26771,20,18.334,32.30769231,1.2393784
25,100,0,26771,20,20.607,32.30769231,1.3930332
25,98,-2,25877,20,21.261,30.76923077,1.4372436
130,97,-1,25877,20,19.273,30,1.3028548
130,97,0,24616,21,17.286,30,1.1685336
130,96,-1,24616,21,18.066,29.23076923,1.2212616
130,96,0,24842,22,19.086,29.23076923,1.2902136
130,96,0,24842,22,18.441,29.23076923,1.2466116
130,96,0,24842,23,16.939,29.23076923,1.1450764
130,97,1,25892,23,16.222,30,1.0966072
130,99,2,25892,23,17.174,31.53846154,1.1609624
130,100,1,25892,23,18.126,32.30769231,1.2253176
130,102,2,25740,23,18.819,33.84615385,1.2721644
130,103,1,25740,23,19.181,34.61538462,1.2966356
130,105,2,25740,22,19.544,36.15384615,1.3211744
130,106,1,28558,22,19.736,36.92307692,1.3341536
130,107,1,28558,22,19.855,37.69230769,1.342198
130,108,1,28558,22,19.974,38.46153846,1.3502424
130,108,0,28558,22,20.093,38.46153846,1.3582868
130,109,1,28283,22,19.471,39.23076923,1.3162396
130,109,0,28283,22,18.785,39.23076923,1.269866
130,109,0,28666,22,18.098,39.23076923,1.2234248
130,110,1,28666,21,18.668,40,1.2619568
130,110,0,28965,22,19.551,40,1.3216476
130,111,1,28965,22,19.343,40.76923077,1.3075868
130,112,1,28965,22,18.621,41.53846154,1.2587796
130,112,0,28837,22,18.317,41.53846154,1.2382292
130,113,1,28837,22,18.248,42.30769231,1.2335648
130,114,1,28803,22,17.795,43.07692308,1.202942
130,114,0,28803,22,16.889,43.07692308,1.1416964
