Time,WR,HR,VE,BF,VO2rel,HRR,VO2,,,
9,25,86,18126.784,20,7.2219,19.04761905,0.66297042,,,
10,25,88,18126.784,20,7.4279,20.63492063,0.68188122,,,
11,25,90,17050.368,20,7.6119,22.22222222,0.69877242,,,
12,25,91,17050.368,20,7.5438,23.01587302,0.69252084,,,
13,25,93,17050.368,20,7.4758,24.6031746,0.68627844,,,
14,25,94,19374.448,21,7.5407,25.3968254,0.69223626,,,
15,25,94,19374.448,21,8.0771,25.3968254,0.74147778,,,
16,25,95,19374.448,21,8.6135,26.19047619,0.7907193,,,
17,25,95,19851.496,21,9.1499,26.19047619,0.83996082,,,
18,25,96,19851.496,21,8.8395,26.98412698,0.8114661,,,
19,25,96,19851.496,21,8.5291,26.98412698,0.78297138,,,
20,25,96,20793.36,20,8.2187,26.98412698,0.75447666,,,
21,25,97,20793.36,20,8.1902,27.77777778,0.75186036,,,
22,25,97,20793.36,20,8.1735,27.77777778,0.7503273,,,
23,25,97,19949.352,20,8.1567,27.77777778,0.74878506,,,
24,25,98,19949.352,20,8.1047,28.57142857,0.74401146,,,
25,25,98,19949.352,20,8.0438,28.57142857,0.73842084,,,
26,25,98,21759.688,20,7.9829,28.57142857,0.73283022,,,
27,25,98,21759.688,20,8.3231,28.57142857,0.76406058,,,
28,25,98,21759.688,20,8.9307,28.57142857,0.81983826,,,
29,25,98,21992.096,20,9.5383,28.57142857,0.87561594,,,
30,25,97,21992.096,20,9.3676,27.77777778,0.85994568,,,
31,25,97,21992.096,20,8.8635,27.77777778,0.8136693,,,
32,25,97,22664.856,20,8.3593,27.77777778,0.76738374,,,
33,25,96,22664.856,20,8.138,26.98412698,0.7470684,,,
34,25,95,22664.856,20,8.0061,26.19047619,0.73495998,,,
35,25,95,23080.744,19,7.8741,26.19047619,0.72284238,,,
36,25,93,23080.744,19,7.6439,24.6031746,0.70171002,,,
37,25,92,23080.744,19,7.2889,23.80952381,0.66912102,,,
38,25,91,23080.744,20,6.9338,23.01587302,0.63652284,,,
39,25,91,22481.376,19,6.688,23.01587302,0.6139584,,,
40,25,90,22481.376,19,7.2434,22.22222222,0.66494412,,,
41,25,90,22481.376,19,7.7989,22.22222222,0.71593902,,,
42,25,89,22591.464,19,8.3543,21.42857143,0.76692474,,,
43,25,89,22591.464,19,8.8324,21.42857143,0.81081432,,,
44,25,89,22591.464,19,9.2861,21.42857143,0.85246398,,,
45,25,89,23300.92,19,9.7398,21.42857143,0.89411364,,,
46,25,88,23300.92,19,9.8306,20.63492063,0.90244908,,,
47,25,89,23300.92,19,9.6122,21.42857143,0.88239996,,,
48,25,89,22151.112,19,9.3938,21.42857143,0.86235084,,,
49,25,89,22151.112,19,8.9429,21.42857143,0.82095822,,,
50,25,90,22151.112,19,8.1963,22.22222222,0.75242034,,,
51,25,90,22151.112,19,7.4496,22.22222222,0.68387328,,,
52,25,90,22872.8,19,7.1112,22.22222222,0.65280816,,,
53,25,91,22872.8,19,7.935,23.01587302,0.728433,,,
54,25,91,22872.8,19,8.7587,23.01587302,0.80404866,,,
55,25,91,22958.424,18,9.5824,23.01587302,0.87966432,,,
56,25,91,22958.424,18,9.5881,23.01587302,0.88018758,,,
57,25,92,22958.424,18,9.5228,23.80952381,0.87419304,,,
58,25,92,23423.24,18,9.4574,23.80952381,0.86818932,,,
59,25,92,23423.24,18,9.3365,23.80952381,0.8570907,,,
60,25,92,23423.24,18,9.2067,23.80952381,0.84517506,,,
61,25,92,22909.496,18,9.0768,23.80952381,0.83325024,,,
62,25,92,22909.496,18,8.871,23.80952381,0.8143578,,,
63,25,92,22909.496,18,8.6146,23.80952381,0.79082028,,,
64,25,92,22823.872,19,8.3582,23.80952381,0.76728276,,,
65,25,92,22823.872,19,8.2276,23.80952381,0.75529368,,,
66,25,93,22823.872,19,8.204,24.6031746,0.7531272,,,
67,25,93,21992.096,19,8.1804,24.6031746,0.75096072,,,
68,25,91,21992.096,19,7.5653,23.01587302,0.69449454,,,
69,25,92,21992.096,19,6.1976,23.80952381,0.56893968,,,
70,25,91,21992.096,19,4.8299,23.01587302,0.44338482,,,
71,25,90,20475.328,19,5.0083,22.22222222,0.45976194,,,
72,25,90,20475.328,19,7.7095,22.22222222,0.7077321,,,
73,25,90,22823.872,19,10.4107,22.22222222,0.95570226,,,
74,25,90,22823.872,19,11.6085,22.22222222,1.0656603,,,
75,25,90,22823.872,20,11.5256,22.22222222,1.05805008,,,
