Time,WR,HR,VE,BF,VO2rel,HRR,VO2
7,25,94,12421.75,17,9.4133,21.25984252,0.7624773
8,25,94,12421.75,17,7.7145,21.25984252,0.6248745
9,25,94,12421.75,17,6.0158,21.25984252,0.4872798
10,25,95,14951.71,17,5.6416,22.04724409,0.4569696
11,25,94,14951.71,18,5.6698,21.25984252,0.4592538
12,25,94,17339.905,19,7.6686,21.25984252,0.6211566
13,25,94,17339.905,19,9.6674,21.25984252,0.7830594
14,25,94,17339.905,20,10.387,21.25984252,0.841347
15,25,94,18364.975,20,10.7459,21.25984252,0.8704179
16,25,93,18364.975,20,10.7319,20.47244094,0.8692839
17,25,93,19684.48,21,10.1584,20.47244094,0.8228304
18,25,93,19684.48,22,9.585,20.47244094,0.776385
19,25,93,19684.48,24,8.7114,20.47244094,0.7056234
20,25,93,19051.99,24,7.7323,20.47244094,0.6263163
21,25,93,19051.99,24,7.8162,20.47244094,0.6331122
22,25,94,20709.55,23,9.2529,21.25984252,0.7494849
23,25,94,20709.55,23,10.6897,21.25984252,0.8658657
24,25,95,20709.55,22,11.0263,22.04724409,0.8931303
25,25,96,21505.615,22,11.3404,22.83464567,0.9185724
26,25,96,21505.615,22,11.5173,22.83464567,0.9329013
27,25,98,21505.615,22,10.1173,24.40944882,0.8195013
28,25,98,22050.865,22,8.7172,24.40944882,0.7060932
29,25,99,22050.865,23,7.8042,25.19685039,0.6321402
30,25,100,22050.865,24,7.5637,25.98425197,0.6126597
31,25,100,22050.865,24,7.3232,25.98425197,0.5931792
32,25,100,17448.955,23,6.7892,25.98425197,0.5499252
33,25,99,17448.955,22,6.2153,25.19685039,0.5034393
34,25,99,17448.955,21,5.9449,25.19685039,0.4815369
35,25,98,17972.395,21,5.9778,24.40944882,0.4842018
36,25,98,17972.395,21,6.503,24.40944882,0.526743
37,25,98,18703.03,21,9.6124,24.40944882,0.7786044
38,25,97,18703.03,21,12.7218,23.62204724,1.0304658
39,25,97,18703.03,21,14.0391,23.62204724,1.1371671
40,25,97,19913.485,21,15.015,23.62204724,1.216215
41,25,97,19913.485,21,15.5,23.62204724,1.2555
42,25,98,19913.485,21,14.9417,24.40944882,1.2102777
43,25,98,19117.42,21,14.3834,24.40944882,1.1650554
44,25,99,19117.42,21,12.9246,25.19685039,1.0468926
45,25,99,19608.145,21,11.2119,25.19685039,0.9081639
46,25,99,19608.145,21,9.4992,25.19685039,0.7694352
47,25,99,19608.145,21,10.2404,25.19685039,0.8294724
48,25,98,19935.295,21,11.449,24.40944882,0.927369
49,25,97,19935.295,21,11.7517,23.62204724,0.9518877
50,25,96,24155.53,22,11.4992,22.83464567,0.9314352
51,25,95,24155.53,23,11.3758,22.04724409,0.9214398
52,25,95,24155.53,24,11.8401,22.04724409,0.9590481
53,25,94,24155.53,24,12.2471,21.25984252,0.9920151
54,25,93,24155.53,24,11.9939,20.47244094,0.9715059
55,25,93,24155.53,24,11.7408,20.47244094,0.9510048
56,25,93,24155.53,24,11.4876,20.47244094,0.9304956
57,25,94,24155.53,24,11.2345,21.25984252,0.9099945
58,25,95,20982.175,23,10.9814,22.04724409,0.8894934
59,25,96,20982.175,21,10.7282,22.83464567,0.8689842
60,25,96,20982.175,20,10.4751,22.83464567,0.8484831
61,25,97,19989.82,19,10.2219,23.62204724,0.8279739
62,25,96,19989.82,19,9.9813,22.83464567,0.8084853
63,25,96,19989.82,19,9.8319,22.83464567,0.7963839
64,25,96,19989.82,20,9.6825,22.83464567,0.7842825
65,25,95,19749.91,19,9.5258,22.04724409,0.7715898
66,25,94,19749.91,19,9.2842,21.25984252,0.7520202
67,25,93,19390.045,19,9.0427,20.47244094,0.7324587
68,25,92,19390.045,19,9.0152,19.68503937,0.7302312
69,25,91,19390.045,19,10.1117,18.8976378,0.8190477
70,25,91,18201.4,19,11.2082,18.8976378,0.9078642
71,25,90,18201.4,19,11.4927,18.11023622,0.9309087
72,25,90,18201.4,18,9.6893,18.11023622,0.7848333
73,25,90,17601.625,18,7.8858,18.11023622,0.6387498
74,25,90,17601.625,18,7.6691,18.11023622,0.6211971
75,25,91,17601.625,18,9.039,18.8976378,0.732159
76,25,92,17917.87,18,10.373,19.68503937,0.840213
77,25,92,17917.87,18,9.9452,19.68503937,0.8055612
78,25,92,20131.585,19,9.5173,19.68503937,0.7709013
79,25,92,20131.585,20,9.4477,19.68503937,0.7652637
80,25,93,20131.585,21,10.0736,20.47244094,0.8159616
81,25,93,19804.435,22,10.6994,20.47244094,0.8666514
82,25,92,19804.435,22,10.4565,19.68503937,0.8469765
83,25,92,18855.7,22,9.8413,19.68503937,0.7971453
84,25,92,18855.7,22,9.3914,19.68503937,0.7607034
85,25,92,18855.7,23,9.5277,19.68503937,0.7717437
86,25,91,18855.7,23,9.664,18.8976378,0.782784
87,25,91,20927.65,23,7.9618,18.8976378,0.6449058
