WR,HR,DeltaHR,VE,BF,VO2rel,HRR,VO2
110,89,3,17751,18.403,10.333,18.60465116,0.8008075
110,91,2,17552,18.58,10.725,20.15503876,0.8311875
110,92,1,17353,18.758,11.116,20.93023256,0.86149
110,95,3,17155,18.935,11.507,23.25581395,0.8917925
110,97,2,17017,19.122,11.427,24.80620155,0.8855925
110,100,3,16907,19.314,11.124,27.13178295,0.86211
110,102,2,16798,19.506,10.822,28.68217054,0.838705
110,103,1,16689,19.698,10.519,29.45736434,0.8152225
110,105,2,16726,19.771,10.097,31.00775194,0.7825175
110,106,1,16839,19.783,9.6122,31.78294574,0.7449455
110,106,0,16952,19.794,9.1276,31.78294574,0.707389
110,106,0,17023,19.518,8.8722,31.78294574,0.6875955
110,106,0,17082,19.151,8.6891,31.78294574,0.67340525
110,106,0,17141,18.785,8.506,31.78294574,0.659215
110,106,0,17341,18.971,8.4927,31.78294574,0.65818425
110,106,0,17547,19.181,8.4865,31.78294574,0.65770375
110,106,0,17729,19.404,8.95,31.78294574,0.693625
110,107,1,17877,19.646,10.062,32.55813953,0.779805
110,107,0,18024,19.888,11.174,32.55813953,0.865985
110,108,1,18213,19.99,11.783,33.33333333,0.9131825
110,110,2,18458,19.898,11.698,34.88372093,0.906595
110,111,1,18703,19.805,11.613,35.65891473,0.9000075
180,112,1,18948,19.713,11.527,36.43410853,0.8933425
180,113,1,19193,19.621,11.442,37.20930233,0.886755
180,114,1,19681,19.48,12.855,37.98449612,0.9962625
180,115,1,20202,19.333,14.473,38.75968992,1.1216575
180,115,0,20755,19.179,15.989,38.75968992,1.2391475
180,116,1,21821,18.92,15.929,39.53488372,1.2344975
180,116,0,22887,18.661,15.869,39.53488372,1.2298475
180,116,0,23932,18.428,15.826,39.53488372,1.226515
180,116,0,24660,18.605,16.048,39.53488372,1.24372
180,116,0,25388,18.782,16.271,39.53488372,1.2610025
180,117,1,26116,18.959,16.494,40.31007752,1.278285
180,117,0,26791,19.333,16.697,40.31007752,1.2940175
180,117,0,27440,19.8,16.892,40.31007752,1.30913
180,118,1,28089,20.267,17.087,41.08527132,1.3242425
180,118,0,28633,20.563,18.06,41.08527132,1.39965
180,119,1,29042,20.641,20.024,41.86046512,1.55186
180,121,2,29451,20.719,21.988,43.41085271,1.70407
180,122,1,29959,20.792,23.566,44.18604651,1.826365
180,123,1,31080,20.84,22.773,44.96124031,1.7649075
180,124,1,32200,20.888,21.979,45.73643411,1.7033725
180,125,1,33545,21.183,21.224,46.51162791,1.64486
180,126,1,35005,21.606,20.489,47.28682171,1.5878975
180,126,0,36341,22.006,19.867,47.28682171,1.5396925
180,127,1,36908,22.267,19.942,48.0620155,1.545505
180,127,0,37476,22.527,20.017,48.0620155,1.5513175
180,128,1,37831,22.824,20.706,48.8372093,1.604715
180,128,0,38005,23.152,21.918,48.8372093,1.698645
180,129,1,38179,23.48,23.13,49.6124031,1.792575
180,130,1,38200,23.54,24.502,50.3875969,1.898905
180,131,1,38144,23.463,25.955,51.1627907,2.0115125
